platform,type,title,director,cast,country,release_year,rating,duration_minutes,num_seasons,genres,keywords,data_quality
Netflix,Movie,Chappaquiddick,John Curran,"Jason Clarke, Kate Mara, Ed Helms, Bruce Dern, Jim Gaffigan, Olivia Thirlby, Clancy Brown, Taylor Nichols, John Fiore","Sweden, United States",2017,Teen,106,,Dramas,chappaquiddick dramas curran,high
Netflix,TV Show,Chappelle's Show,,Dave Chappelle,United States,2005,Adult,,2,Tv Comedies,chappelle comedies,high
Netflix,Movie,Chappie,Neill Blomkamp,"Sharlto Copley, Hugh Jackman, Sigourney Weaver, Dev Patel, Ninja, Yo-Landi Visser, Jose Pablo Cantillo, Brandon Auret, Johnny Selema, Maurice Carpede","South Africa, United States",2015,Adult,121,,"Action & Adventure, Sci-Fi & Fantasy",chappie action adventure sci fantasy blomkamp,high
Amazon Prime,Movie,Charade,Stanley Donen,"Cary Grant, Audrey Hepburn, Walter Matthau, James Coburn, George Kennedy",,1963,Adult,113,,Comedy,charade comedy donen,high
Netflix,TV Show,Charité,,"Alicia Von Rittberg, Maximilian Meyer-Bretschneider, Justus Von Dohnányi, Matthias Koeberlin, Christoph Bach, Ernst Stötzner, Klara Deutschmann, Ramona Kunze-Libnow, Daniel Sträßer, Tanja Schleiff, Monika Oschek, Emilia Schüle, Matthias Brenner, Thomas Loibl",Germany,2017,Adult,,1,"International Tv Shows, Tv Dramas",charit dramas,high
Netflix,TV Show,Charité at War,,"Mala Emde, Ulrich Noethen, Jannik Schümann, Artjom Gilz, Luise Wolfram, Jacob Matschenz, Frida-Lovisa Hamann, Lukas Miko, Susanne Böwe",,2019,Adult,,1,"International Tv Shows, Tv Dramas",charit war dramas,high
Amazon Prime,Movie,Charlene,Hasan Qureshi,"Angela Hou, Hasan Qureshi, Kenny Kendawg",,2021,Teen,56,,"Arthouse, Drama",charlene arthouse drama qureshi,high
Amazon Prime,TV Show,Charles I Downfall of a King,,Lisa Hilton,,2019,Teen,,1,Tv Shows,charles downfall king,high
Amazon Prime,Movie,Charlie Chaplin 2,Sakthi Chidambaram,"Prabhu Deva, Nikki Galrani, Prabhu, Adah Sharma, Vivek Prasanna, Aravind Akash",,2019,General,112,,"Action, Comedy",charlie chaplin action comedy chidambaram,high
Amazon Prime,Movie,Charlie and Boots,Dean Murphy,"Paul Hogan, Shane Jacobson",,2010,Adult,109,,"Action, Adventure, Comedy",charlie boots action adventure comedy murphy,high
Netflix,Movie,Charlie and the Chocolate Factory,Tim Burton,"Johnny Depp, Freddie Highmore, David Kelly, Helena Bonham Carter, Noah Taylor, Missi Pyle, James Fox, Deep Roy, Christopher Lee, Adam Godley, Annasophia Robb, Julia Winter, Jordan Fry, Philip Wiegratz","United Kingdom, United States",2005,PG,115,,"Children & Family Movies, Comedies",charlie chocolate factory children family comedies burton,high
Netflix,Movie,Charlie's Angels,McG,"Cameron Diaz, Drew Barrymore, Lucy Liu, Bill Murray, Sam Rockwell, Kelly Lynch, Tim Curry, Crispin Glover, Matt Leblanc, Ll Cool J, Tom Green, Luke Wilson","Germany, United States",2000,Teen,98,,"Action & Adventure, Comedies",charlie angels action adventure comedies mcg,high
Netflix,Movie,Charlie's Angels: Full Throttle,McG,"Cameron Diaz, Drew Barrymore, Lucy Liu, Bernie Mac, Crispin Glover, Justin Theroux, Robert Patrick, Demi Moore, Rodrigo Santoro, Shia Labeouf, Matt Leblanc, Luke Wilson, John Cleese",United States,2003,Teen,106,,"Action & Adventure, Comedies",charlie angels full throttle action adventure comedies mcg,high
Netflix,TV Show,Charlie's Colorforms City,,"Jacob Soley, Saara Chaudry, Tyler Barish, Zoe Hatz, Julie Lemieux, Joseph Motiki, Shoshana Sperling, Adrianna Di Liello, Deann Degruijter, Stacey Depass",United States,2019,Kids,,1,Kids' Tv,charlie colorforms city kids,high
Hulu,TV Show,Charlotte,,,Japan,2015,Teen,,1,"Anime, Drama, Science Fiction",charlotte anime drama science fiction,medium
Amazon Prime,Movie,Charlotte Moon Mysteries - Green on the Greens,Heidi Horne,"Ashley Horne, Brooke Horne, Briana Joy Johnson, Reece Calhoun, Heather Lever, Garrett Linn, Brady Hepner, Hunter Gray, Brynn Burch, Evan Pahl, Reese Crawley, Pete Mangum, Dianna Peukstelis, Patrick Smith, Seth Robbins, Joshua Kornmayer, Ginger Hubbs Martin, Melvin W. Evans Jr., Olivia Celine, Jack Young, Izzy Pike, Shelley Sink, Rae Derosa, Russell Scott, Arnell Pharr, Bonnie Ryerson, Rhonda Mitchell",,2021,Teen,106,,"Comedy, Suspense",charlotte moon mysteries green greens comedy suspense horne,high
Netflix,Movie,Charlotte's Web,"Charles A. Nichols, Iwao Takamoto","Debbie Reynolds, Charles Nelson Reilly, Paul Lynde, Henry Gibson, Rex Allen, Danny Bonaduce, Pamelyn Ferdin, Don Messick, Agnes Moorehead, Martha Scott, John Stephenson, Herb Vigran, Dave Madden",United States,1973,General,94,,"Children & Family Movies, Classic Movies",charlotte web children family classic takamoto,high
Amazon Prime,Movie,Charm City,Marilyn Ness,"Clayton ""Mr. C"" Guyton, Alex Long, Major Monique Brown, Officer Eric Winston, Officer John Gregorio, Councilman Brandon Scott",,2019,Unrated,107,,"Documentary, Special Interest",charm city documentary special interest ness,high
Netflix,TV Show,Charmed,,"Madeleine Mantock, Sarah Jeffery, Melonie Diaz, Rupert Evans, Ser'Darius Blain, Ellen Tamaki, Charlie Gillespie",United States,2021,Teen,,3,"Tv Dramas, Tv Sci-Fi & Fantasy",charmed dramas sci fantasy,high
Netflix,Movie,Charming,Ross Venokur,"Wilmer Valderrama, Demi Lovato, Sia, Nia Vardalos, Ashley Tisdale, Avril Lavigne, G.E.M., John Cleese, Chris Harrison, Dee Bradley Baker, Carlos Alazraqui","Canada, Cayman Islands, United States",2021,Kids,85,,"Children & Family Movies, Comedies",charming children family comedies venokur,high
Amazon Prime,Movie,Chasers,Dennis Hopper,"Tom Berenger, William Mcnamara, Erika Eleniak, Crispin Glover",,1994,Adult,101,,"Action, Comedy, Drama",chasers action comedy drama hopper,high
Netflix,Movie,Chashme Baddoor,David Dhawan,"Rishi Kapoor, Ali Zafar, Taapsee Pannu, Siddharth, Divyendu Sharma, Anupam Kher, Bharati Achrekar, Lillete Dubey, Ayaz Khan",India,2013,Teen,121,,"Comedies, International Movies, Music & Musicals",chashme baddoor comedies music musicals dhawan,high
Amazon Prime,Movie,Chashme Bahaddar,Vijay Patkar,"Sanjay Narvekar, Dipali Sayyad, Vijay Chavan, Johnny Lever, Rajpal Yadav, Deepak Shirke, Sahil Shirvaikar, Jaiwant Bhalekar, Kishori Ambiye, Purnima Ahire, Vijay Kadam, Jayraj Nair, Arun Nalawade, Sunil Pal, Nisha Parulekar, Kamlakar Satputhe, Sunil Tawde",India,2006,General,146,,Comedy,chashme bahaddar comedy patkar,high
Netflix,Movie,Chashme Buddoor,David Dhawan,"Ali Zafar, Siddharth, Divyendu Sharma, Tapsee Pannu, Rishi Kapoor, Anupam Kher, Bharati Achrekar, Varun Dhawan, Lillete Dubey, Ayaz Khan, Ashish Verma",India,2013,PG,121,,"Comedies, International Movies, Music & Musicals",chashme buddoor comedies music musicals dhawan,high
Amazon Prime,Movie,Chasing,K. Veerakumar,"Varalaxmi Sarathkumar, Bala Saravanan",,2021,Teen,109,,"Action, Comedy",chasing action comedy veerakumar,high
Netflix,Movie,Chasing Amy,Kevin Smith,"Ben Affleck, Joey Lauren Adams, Jason Lee, Dwight Ewell, Jason Mewes, Kevin Smith",United States,1997,Adult,113,,"Comedies, Cult Movies, Dramas",chasing amy comedies cult dramas smith,high
Amazon Prime,TV Show,Chasing Angel,,"C. Andrew Garrison, Talia Liccardello",,2019,Teen,,1,"Romance, Suspense",chasing angel romance suspense,high
Netflix,TV Show,Chasing Cameron,,"Cameron Dallas, Aaron Carpenter, Taylor Caniff, Willie Jones, Trey Schafer, Bart Bordelon, Blake Gray",United States,2016,Teen,,1,"Reality Tv, Teen Tv Shows",chasing cameron reality teen,high
Netflix,Movie,Chasing Coral,Jeff Orlowski,,United States,2017,PG,89,,Documentaries,chasing coral documentaries orlowski,high
Amazon Prime,Movie,Chasing Happiness,John Lloyd Taylor,"Nick Jonas, Joe Jonas, Kevin Jonas",,2019,Adult,97,,Documentary,chasing happiness documentary taylor,high
Netflix,TV Show,Chasing Monsters,,Cyril Chauquet,Canada,2016,PG,,2,"Docuseries, Reality Tv, Science & Nature Tv",chasing monsters docuseries reality science nature,high
Amazon Prime,TV Show,Chasing November,,"Bill Winke, Jared Mills",,2017,Teen,,1,"Documentary, Drama, Special Interest",chasing november documentary drama special interest,high
Hulu,Movie,Chasing Papi,,,,2003,PG,80,,"Comedy, Drama, Romance",chasing papi comedy drama romance,medium
Amazon Prime,Movie,Chasing Sleep,Michael Walker,"Jeff Daniels, Molly Price, Ben Shenkman, Gil Bellows, Michelle Held, Emily Bergl",,2001,Adult,104,,Suspense,chasing sleep suspense walker,high
Amazon Prime,TV Show,Chasing The Crown: Dreamers to Streamers,,"Tucker Boner Aka Jericho, Annemunition, Actionjaxon, Goldglove, Jordan Fisher, Ron Funches, Justin Willman, Brittney Griner, Bryan Aka Beewhyan, Chelsea Aka Chelseabytes, Michael Aka Redvacktor",,2020,Teen,,1,Adventure,chasing crown dreamers streamers adventure,high
Amazon Prime,Movie,Chasing The Rain,Cindy Jansen,"Matt Lanter, Halle Hirsh, William Russ, Hakeem Kae-Kazim, Eric Tiede, Yetide Badaki, Cindy Picket, Maiara Walsh",,2020,Teen,117,,"Drama, Suspense",chasing rain drama suspense jansen,high
Netflix,Movie,Chasing Trane,John Scheinfeld,"Denzel Washington, Bill Clinton, Ravi Coltrane, Common, Benny Golson, Jimmy Heath, Wynton Marsalis, Sonny Rollins, Carlos Santana, Cornel West",United States,2016,PG,99,,"Documentaries, Music & Musicals",chasing trane documentaries music musicals scheinfeld,high
Hulu,Movie,Chasing Trane: The John Coltrane Documentary,,,,2016,Unrated,99,,"Documentaries, Music",chasing trane john coltrane documentary documentaries music,medium
Netflix,Movie,Chasing the Dragon,"Wong Jing, Jason Kwan","Donnie Yen, Andy Lau, Philip Keung, Kent Cheng, Wilfred Lau, Ken Tong, Yu Kang","China, Hong Kong",2017,Adult,129,,"Action & Adventure, Dramas, International Movies",chasing dragon action adventure dramas kwan,high
Disney+,Movie,Chasing the Equinox,Kenny Scott,Stefan Frank,,2019,PG,45,,Documentary,chasing equinox documentary scott,high
Amazon Prime,Movie,Chatrapathy,Srimahesh,"Sarathkumar, Nikita Thukral, Saranya Ponvannan, Vadivelu",,2004,Teen,145,,"Action, Drama",chatrapathy action drama srimahesh,high
Amazon Prime,Movie,Chattahoochee,Mick Jackson,"Gary Oldman, Dennis Hopper, Frances Mcdormand, Pamela Reed, Matt Craven, William De Acutis, Gary Klar, Lee Wilkof",,1990,Adult,98,,Drama,chattahoochee drama jackson,high
Netflix,Movie,Chatô: The King of Brazil,Guilherme Fontes,"Marco Ricca, Andrea Beltrão, Letícia Sabatella, Leandra Leal, Gabriel Braga Nunes, Paulo Betti, Marcos Oliveira, Eliane Giardini",Brazil,2015,Adult,105,,"Dramas, International Movies",chat king brazil dramas fontes,high
Netflix,Movie,Chauthi Koot,Gurvinder Singh,"Suvinder Vikky, Rajbir Kaur, Gurpreet Kaur Bhangu, Taranjit Singh, Harleen Kaur, Kanwaljeet Singh, Harnek Aulakh, Tejpal Singh, Gulshan Saggi","France, India",2015,Teen,116,,"Dramas, Independent Movies, International Movies",chauthi koot dramas independent singh,high
Amazon Prime,Movie,Chavela,"Catherine Gund, Daresha Kyi","Chavela Vargas, Pedro Almodóvar, Elena Benarroch, Miguel Bosé",,2017,Adult,93,,"Documentary, Lgbtq",chavela documentary lgbtq kyi,high
Hulu,Movie,Cheap Thrills,,,,2014,Unrated,87,,"Comedy, Thriller",cheap thrills comedy thriller,medium
Amazon Prime,Movie,Cheaper 2 Keep Her,Marvin Hayes,"Courtney Mcgriff, Kenyon Glover, Jasmine Leyva, Kristen Hurt, Barry Brewer",,2021,Adult,103,,"Comedy, Drama, Romance",cheaper keep her comedy drama romance hayes,high
Disney+,Movie,Cheaper By the Dozen,Shawn Levy,"Steve Martin, Bonnie Hunt, Hilary Duff, Tom Welling, Piper Perabo",United States,2003,PG,99,,"Comedy, Family",cheaper dozen comedy family levy,high
Disney+,Movie,Cheaper by the Dozen 2,Adam Shankman,"Steve Martin, Eugene Levy, Bonnie Hunt, Tom Welling, Piper Perabo, Carmen Electra","Canada, United States",2005,PG,95,,"Comedy, Family",cheaper dozen comedy family shankman,high
Netflix,TV Show,Cheapest Weddings,,Melanie Vallejo,Australia,2016,Teen,,1,"International Tv Shows, Reality Tv",cheapest weddings reality,high
Amazon Prime,Movie,Cheating Hearts,Eurika Pratts,Laila Odom,,2012,Adult,69,,Drama,cheating hearts drama pratts,high
Netflix,TV Show,Check The Store Next Door: The Next Chapter,,"Ernest Prakasa, Chew Kin Wah, Dion Wiyoko, Morgan Oey, Anggika Bolsterli, Arie Kriting, Yusril Fahriza, Awwe, Adjis Doaibu, Aci Resti, Bintang Emon, Jenny Zhang, Soleh Solihun, Denny Gitong",Indonesia,2020,Teen,,2,"International Tv Shows, Tv Comedies, Tv Dramas",check store next door chapter comedies dramas,high
Amazon Prime,Movie,Checkmate,Prasad Velampalli,"Vishnu Priya, Rajendra Prasad, Diksha Panth",,2021,Teen,90,,"Comedy, Suspense",checkmate comedy suspense velampalli,high
Hulu,Movie,Cheddar Explains,,,,2018,General,,,"Documentaries, News, Science & Technology",cheddar explains documentaries news science technology,medium
Hulu,Movie,Cheddar Features,,,,2018,General,,,"Documentaries, News",cheddar features documentaries news,medium
Amazon Prime,Movie,Chee & T,Tanuj Chopra,"Dominic Rains, Sunkrish Bala, Asif Ali",,2018,Adult,79,,"Action, Comedy, Special Interest",chee action comedy special interest chopra,high
Netflix,Movie,Cheech & Chong's Still Smokin,Tommy Chong,"Cheech Marin, Tommy Chong, Susan Hahn, Carol Van Herwijnen, Shireen Strooker",,1983,Adult,91,,"Comedies, Cult Movies",cheech chong still smokin comedies cult,high
Netflix,TV Show,Cheer,,,United States,2020,Adult,,1,"Docuseries, Reality Tv, Teen Tv Shows",cheer docuseries reality teen,medium
Hulu,Movie,Cheer Camp Killer,,,,2020,Teen,87,,Thriller,cheer camp killer thriller,medium
Netflix,TV Show,Cheer Squad,,,United States,2016,PG,,1,"Reality Tv, Teen Tv Shows",cheer squad reality teen,medium
Amazon Prime,Movie,Cheer Up,Tyler Maddox,"Ashton Mcgraw, Tiaramy Maloy, Tyler Maddox",,2021,Teen,68,,"Comedy, Kids",cheer comedy kids maddox,high
Hulu,TV Show,Cheerleader Generation,,,,2019,PG,,1,"Reality, Sports",cheerleader generation reality sports,medium
Hulu,TV Show,Cheers,,,United States,1982,PG,,11,"Classics, Comedy, Sitcom",cheers classics comedy sitcom,medium
Netflix,TV Show,Cheers,,"Ted Danson, Rhea Perlman, George Wendt, John Ratzenberger, Shelley Long, Kirstie Alley, Woody Harrelson, Kelsey Grammer, Nicholas Colasanto",United States,1992,PG,,11,"Classic & Cult Tv, Tv Comedies",cheers classic cult comedies,high
Amazon Prime,Movie,Cheers For Miss Bishop,Tay Garnett,"Martha Scott, William Gargan, Donald Douglas, Sidney Blackmer, Edmund Gwenn, Sterling Holloway, Rosemary De Camp",,1941,Teen,94,,Drama,cheers miss bishop drama garnett,high
Amazon Prime,Movie,Cheers of the Crowd,Vin Moore,"Russell Hopton, Irene Ware, Harry Holman, Bradley Page, John Quillan, Wade Boteler, Betty Blythe",,1935,Teen,62,,"Comedy, Suspense",cheers crowd comedy suspense moore,high
Netflix,TV Show,Cheese in the Trap,Lee Yoon-jung,"Park Hae-Jin, Kim Go-Eun, Seo Kang-Jun, Lee Sung-Kyoung, Nam Joo-Hyuk, Park Min-Ji, Hwang Seog-Jeong, Son Byung-Ho, Ahn Kil-Kang",South Korea,2016,Teen,,1,"International Tv Shows, Korean Tv Shows, Romantic Tv Shows",cheese trap korean romantic yoon-jung,high
Disney+,Movie,Cheetah,Jeff Blyth,"Keith Coogan, Lucy Deakins, Timothy Landfield, Breon Gorman, Collin Mothupi, Ka Vundla",United States,1989,General,84,,"Action-Adventure, Animals & Nature, Family",cheetah action adventure animals nature family blyth,high
Amazon Prime,Movie,Chef,Raja Menon,"Saif Ali Khan, Padmapriya, Dhanish Karthik, Ram Gopal Bajaj, Riju Bajaj, Pawan Chopra, Sobhita Dhulipala, Raghu Dixit, Svar Kamble, Michael Kelberg, Meghan Lane, Lynn Marocola, Jack Ricardo Miller, Shayan Munshi, Russell Peters, Dinesh Prabhakar, Chandan Roy Sanyal, Neha Saxena, Milind Soman, Tanya Thompson",India,2017,Teen,131,,"Comedy, Drama, International",chef comedy drama menon,high
Netflix,Movie,Chef,Jon Favreau,"Jon Favreau, Sofía Vergara, John Leguizamo, Scarlett Johansson, Dustin Hoffman, Oliver Platt, Bobby Cannavale, Amy Sedaris, Robert Downey Jr., Emjay Anthony, Russell Peters",United States,2014,Adult,115,,"Comedies, Independent Movies",chef comedies independent favreau,high
Netflix,TV Show,Chef & My Fridge,,"Seong-Joo Kim​, Jung-Hwan Ahn",South Korea,2017,PG,,2,"International Tv Shows, Korean Tv Shows, Reality Tv",chef fridge korean reality,high
Disney+,Movie,Chef Donald,Jack King,,United States,1941,General,8,,"Animation, Comedy, Family",chef donald animation comedy family king,high
Hulu,Movie,Chef Flynn,,,United States,2018,Unrated,82,,Documentaries,chef flynn documentaries,medium
Netflix,TV Show,Chef's Table,,,United States,2019,Adult,,6,"Docuseries, Reality Tv",chef table docuseries reality,medium
Netflix,TV Show,Chef's Table: BBQ,,,United States,2020,Teen,,1,"Docuseries, Reality Tv",chef table bbq docuseries reality,medium
Netflix,TV Show,Chef's Table: France,,,,2016,Teen,,1,Docuseries,chef table france docuseries,medium
Amazon Prime,Movie,Chehre,Rummy Jafry,"Amitabh Bachchan, Emraan Hashmi, Krystle Dsouza, Riya Chakraborty, Annu Kapoor, Dhritiman Chattergee, Raghubir Yadav, Siddhanth Kapoor",,2021,Unrated,139,,Suspense,chehre suspense jafry,high
Amazon Prime,Movie,Chelli Kosam,RK SANTOSH,"Venkata Satya, Sirisha Reddy",,2021,Teen,22,,"Drama, Kids",chelli kosam drama kids santosh,high
Netflix,TV Show,Chelsea,,,United States,2017,Adult,,2,"Stand-Up Comedy & Talk Shows, Tv Comedies",chelsea stand comedy talk comedies,medium
Netflix,TV Show,Chelsea Does,,Chelsea Handler,United States,2016,Adult,,1,"Docuseries, Science & Nature Tv",chelsea does docuseries science nature,high
Netflix,Movie,Chelsea Handler: Uganda Be Kidding Me Live,James Yukich,Chelsea Handler,United States,2014,Adult,71,,Stand-Up Comedy,chelsea handler uganda kidding live stand comedy yukich,high
Netflix,Movie,Chelsea Peretti: One of the Greats,Lance Bangs,Chelsea Peretti,United States,2014,Adult,75,,Stand-Up Comedy,chelsea peretti one greats stand comedy bangs,high
Amazon Prime,Movie,Chemical Hearts,Richard Tanne,"Lili Reinhart, Austin Abrams",United States,2020,Adult,93,,Drama,chemical hearts drama tanne,high
Amazon Prime,Movie,Chennai 600028 II,Venkat Prabhu,"Jai, Shiva, Vaibhav, Premji, Aravind Akash, Nithin Sathya, Vijay Vasanth, Ilavarasu, Vijayalakshmi",,2016,Teen,147,,Comedy,chennai comedy prabhu,high
Netflix,Movie,Chennai Express,Rohit Shetty,"Shah Rukh Khan, Deepika Padukone, Nikitin Dheer, Satyaraj, Kamini Kaushal, Lekh Tandon, Mukesh Tiwari",India,2013,Teen,135,,"Action & Adventure, Comedies, International Movies",chennai express action adventure comedies shetty,high
Amazon Prime,Movie,Cheo,Eric W. Santos,"Sebastian Salazar, Samantha Laurenti, Zen Navarro, Tina Torres, Marsha Hovey, Hence Singleton, Gordy Bravo, Nj Brown, Ana Aldana, Rebecca Faiola",,2019,Teen,106,,"Drama, Special Interest",cheo drama special interest santos,high
Amazon Prime,Movie,Cherished,Robin Sheppard,"Sarah Lancashire, Timothy Spall",,2005,Adult,89,,Drama,cherished drama sheppard,high
Hulu,TV Show,Chernobyl,,,,2019,Adult,,1,"Drama, History",chernobyl drama history,medium
Netflix,Movie,Chernobyl Diaries,Bradley Parker,"Ingrid Bolsø Berdal, Dimitri Diatchenko, Olivia Taylor Dudley, Devin Kelley, Jesse Mccartney, Nathan Phillips, Jonathan Sadowski, Alex Feldman, Kristof Konrad, Pasha D. Lychnikoff",United States,2012,Adult,88,,"Horror Movies, Thrillers",chernobyl diaries horror thrillers parker,high
Amazon Prime,Movie,Cherry Pop,Assaad Yacoub,"Caldwell Tidicue, Lars Berge, Tempest Dujour, Detox Icunt, Latrice Royale, Mayhem Miller",,2017,Adult,78,,"Comedy, Drama",cherry pop comedy drama yacoub,high
Netflix,TV Show,Cheuk Wan-Chi: Two Night Stand,,Cheuk Wan Chi,,2015,Adult,,1,"International Tv Shows, Stand-Up Comedy & Talk Shows, Tv Comedies",cheuk wan chi two night stand comedy talk comedies,high
Netflix,TV Show,Chewin' the Fat,,"Ford Kiernan, Greg Hemphill, Karen Dunbar, Mark Cox, Paul Riley",United Kingdom,1999,Teen,,1,"British Tv Shows, Tv Comedies",chewin fat british comedies,high
Netflix,TV Show,Chewing Gum,,"Michaela Coel, John Macmillan, Robert Lonsdale, Danielle Walters, Kadiff Kirwan, Susan Wokoma, Shola Adewusi, Sarah Hoare, Abby Rakic-Platt, Maggie Steed, Olisa Odele",United Kingdom,2017,Adult,,2,"British Tv Shows, International Tv Shows, Romantic Tv Shows",chewing gum british romantic,high
Amazon Prime,Movie,Cheyenne Wildcat,Lesley Selander,"Bill Elliott, Robert Blake",,1944,Teen,53,,"Action, Western",cheyenne wildcat action western selander,high
Amazon Prime,Movie,Chhalaang,Hansal Mehta,"Rajkummar Rao, Nushrratt Bharuchaa",India,2020,Teen,136,,"Comedy, Drama",chhalaang comedy drama mehta,high
Amazon Prime,Movie,Chhalaang (4K UHD,Hansal Mehta,"Rajkummar Rao, Nushrratt Bharuchaa",India,2020,Teen,136,,"Comedy, Drama",chhalaang uhd comedy drama mehta,high
Netflix,TV Show,Chhota Bheem,,"Vatsal Dubey, Julie Tejwani, Rupa Bhimani, Jigna Bhardwaj, Rajesh Kava, Mousam, Swapnil",India,2021,Kids,,3,Kids' Tv,chhota bheem kids,high
Netflix,Movie,Chhota Bheem & Ganesh,Rajiv Chilaka,"Vatsal Dubey, Julie Tejwani, Rupa Bhimani, Jigna Bhardwaj, Rajesh Kava, Mousam, Swapnil",,2009,Kids,68,,Children & Family Movies,chhota bheem ganesh children family chilaka,high
Netflix,Movie,Chhota Bheem & Krishna: Mayanagari,Rajiv Chilaka,"Vatsal Dubey, Julie Tejwani, Rupa Bhimani, Jigna Bhardwaj, Rajesh Kava, Mousam, Swapnil",,2011,Kids,67,,Children & Family Movies,chhota bheem krishna mayanagari children family chilaka,high
Netflix,Movie,Chhota Bheem & Krishna: Pataliputra- City of the Dead,Rajiv Chilaka,"Vatsal Dubey, Julie Tejwani, Rupa Bhimani, Jigna Bhardwaj, Rajesh Kava, Arun Shekher, Sanchit Wartak",,2010,Kids,66,,Children & Family Movies,chhota bheem krishna pataliputra city dead children family chilaka,high
Netflix,Movie,Chhota Bheem - Dinosaur World,Sidheswar Shukla,"Sonal Kaushal, Rupa Bhimani, Julie Tejwani, Sabina Malik, Jigna Bharadwaj",,2015,Kids,65,,Children & Family Movies,chhota bheem dinosaur world children family shukla,high
Netflix,Movie,Chhota Bheem - Neeli Pahaadi,Rajiv Chilaka,"Vatsal Dubey, Julie Tejwani, Rupa Bhimani, Jigna Bhardwaj, Rajesh Kava, Mousam, Swapnil",,2013,Kids,64,,Children & Family Movies,chhota bheem neeli pahaadi children family chilaka,high
Netflix,Movie,Chhota Bheem And The Broken Amulet,Rajiv Chilaka,"Vatsal Dubey, Julie Tejwani, Rupa Bhimani, Jigna Bhardwaj, Rajesh Kava, Mousam, Swapnil",India,2013,Kids,64,,Children & Family Movies,chhota bheem broken amulet children family chilaka,high
Netflix,Movie,Chhota Bheem And The Crown of Valhalla,Rajiv Chilaka,"Vatsal Dubey, Julie Tejwani, Rupa Bhimani, Jigna Bhardwaj, Rajesh Kava, Mousam, Swapnil",,2013,Kids,64,,Children & Family Movies,chhota bheem crown valhalla children family chilaka,high
Netflix,Movie,Chhota Bheem Aur Hanuman,Rajiv Chilaka,"Vatsal Dubey, Julie Tejwani, Rupa Bhimani, Jigna Bhardwaj, Rajesh Kava, Mousam, Swapnil",,2012,Kids,68,,Children & Family Movies,chhota bheem aur hanuman children family chilaka,high
Netflix,Movie,Chhota Bheem Aur Kaala Yodha,"Sidheswar Shukla, Asit Mohapatra","Julie Tejwani, Sabina Malik, Jigna Bharadhwaj, Rupa Bhimani, Lalit Agarwal, Rajesh Shukla, Disha, Rajesh Kawa, Raju",,2018,Kids,63,,Movies,chhota bheem aur kaala yodha mohapatra,high
Netflix,Movie,Chhota Bheem Ka Romani Adventure,"Asit Mohapatra, Shyamal Chaulia","Julie Tejwani, Sabina Malik, Jigna Bharadhwaj, Rupa Bhimani, Lalit Agarwal, Rajesh Shukla, Disha, Rajesh Kawa, Raju",,2018,Kids,62,,Children & Family Movies,chhota bheem romani adventure children family chaulia,high
Netflix,Movie,Chhota Bheem Ka Roosi Romanch,"Arpan Sarkar, Shyamal Chaulia","Julie Tejwani, Sabina Malik, Jigna Bharadwaj, Rupa Bhimani, Lalit Agarwal, Rajesh Shukla, Disha, Rajesh Kava, Raju",,2019,Kids,63,,Children & Family Movies,chhota bheem roosi romanch children family chaulia,high
Netflix,Movie,Chhota Bheem Ka Troll Se Takkar,"Shyamal Chaulia, Asit Mohapatra","Julie Tejwani, Sabina Malik, Jigna Bharadhwaj, Rupa Bhimani, Lalit Agarwal, Rajesh Shukla, Disha, Rajesh Kawa, Raju",,2018,Kids,62,,Movies,chhota bheem troll takkar mohapatra,high
Netflix,TV Show,Chhota Bheem Kung Fu Dhamaka Series,,"Pinky Pal Rajput, Sonal Kaushal, Julie Tejwani, Jigna Bharadhwaj, Shaily Dubey, Rajesh Kava, Ghanshyam Shukla, Anamaya Verma, Mohit Sinha, Vaibhav Thakkar",,2019,Kids,,1,Kids' Tv,chhota bheem kung dhamaka kids,high
Netflix,Movie,Chhota Bheem Kungfu Dhamaka,"Rajiv Chilaka, Binayak Das","Sonal Kaushal, Rupa Bhimani, Jigna Bharadhwaj, Sabina Malik, Julie Tejwani, Rajesh Kava, Vaibhav Thakkar, Samriddhi Shuklaa, Aditya Raj Sharma, Vinod Kulkarni",India,2019,Kids,112,,Children & Family Movies,chhota bheem kungfu dhamaka children family das,high
Netflix,Movie,Chhota Bheem and The ShiNobi Secret,Rajiv Chilaka,"Vatsal Dubey, Julie Tejwani, Rupa Bhimani, Jigna Bhardwaj, Rajesh Kava, Mousam, Swapnil",,2013,Kids,64,,Children & Family Movies,chhota bheem shinobi secret children family chilaka,high
Netflix,Movie,Chhota Bheem and the Curse of Damyaan,Rajiv Chilaka,"Kaustav Ghosh, Jigna Bhardwaj, Chutki, Rajesh Kava, Mausam, Guru Shambu, Arun Shekar, Julie Tejwani, Anamaya Verma",India,2012,Kids,87,,Children & Family Movies,chhota bheem curse damyaan children family chilaka,high
Netflix,Movie,Chhota Bheem and the Incan Adventure,Rajiv Chilaka,"Vatsal Dubey, Julie Tejwani, Rupa Bhimani, Jigna Bhardwaj, Rajesh Kava, Mousam, Swapnil",,2013,Kids,65,,Children & Family Movies,chhota bheem incan adventure children family chilaka,high
